docId,filename,0 phaedr soc lover,1 form general act,2 motion time things,3 thou things thy,4 friends good regard,5 cf callias 2,6 world moment eye,7 letter friendship caesar,8 nature part reason,9 reason idea knowledge,10 thing matter movement,11 life form beauty,12 state justice evil,13 man good things,14 process makes principles,15 things substance number,16 great life true,17 state government democracy,18 man sort thing,19 man men gods,20 principle earth state,21 city men citizens,22 soc men virtue,23 soc cal pol,24 good things rest,25 love socrates beauty,26 place body sense,27 science true definition,28 plat iii ii,29 gods pay fire,30 tragedy poet action,31 act universe vision,32 men citizens law,33 true good replied,34 thought time hope,35 pleasure acts bad,36 socrates soul body,37 time body eyes,38 age life men,39 soul principle intellectual
0,Greece_Plato_Gorgias.txt,5.713517178020608E-6,1.684520859647029E-5,1.5965085366299E-5,4.530556590006019E-6,0.021650322343715413,1.7633320888012735E-6,0.004227681214775153,8.028527265549257E-6,0.04255334037591625,1.3318667639221325E-5,1.2965415125425745E-4,1.1296082146953035E-4,7.094241207027411E-6,0.02313600788459215,3.5507838028127727E-4,1.2139067684464933E-4,0.18357201589789193,7.303603192011386E-6,0.06990347910464902,0.04822530500147414,2.798299069248133E-5,2.352242985287582E-4,0.005272919312443549,0.4576790924010501,5.340704522390079E-5,0.010775709795361363,2.4299492125170814E-5,1.1462840004576134E-4,7.965405790037984E-6,1.6405648263769237E-5,8.696341084562784E-6,9.775719047207976E-6,0.03432347676057709,0.07059763191215832,1.0079482072660026E-5,0.0033639068413994595,0.002921389306827069,0.020473529487023218,1.0028428225378749E-5,6.05234007302041E-6
1,Greece_Plato_Republic.txt,1.4490521721680695E-6,0.010246965112356303,0.0013933504620417406,1.1490317895837617E-6,0.024832171787997716,4.4721318128885977E-7,0.022756215784581143,2.9277385372078E-5,0.07197604841873122,3.3778570487617464E-6,9.863248122181003E-4,1.4077203397254309E-6,0.15606665932488092,0.011179748466459704,0.012130666705561092,8.75264226718557E-4,0.13909558302520192,0.01201522347418668,0.08305320554408452,0.06333531647196355,0.007089810144863376,0.0051810036027482775,0.006594860969029842,9.939871000830327E-7,0.02191547335081849,0.016489724785227488,6.16279443107551E-6,1.8306486836611367E-6,2.020172199124003E-6,0.02389469704396097,0.004660451505758135,2.479300661658113E-6,0.07193189522249747,0.17481418460219414,0.0018004758319229818,0.00491208759128344,0.005807781636268127,0.04491013655730768,2.5433923187137463E-6,1.5349838385448615E-6
2,Rome_Cicero_OnFriendshipOrLaelius.txt,1.0397262164128916E-5,6.170388995217085E-4,2.2451423621744237E-4,8.244551149145876E-6,0.1836491161098758,3.2088511224253404E-6,0.017857388130225787,0.137228598939423,0.07411426020254014,2.4236853553988665E-5,4.047864506917211E-5,1.010069734342478E-5,1.290985629110929E-5,0.1283006433606619,0.0076827742464324255,2.5441058387227222E-5,0.056307220738683765,2.0875236868645217E-4,0.05371441589549814,0.03928429472748725,0.0027873838016983753,3.713004755950834E-5,1.786270353010891E-5,7.132072030134505E-6,0.039384954358071954,0.001040421629452965,0.0018033730843637701,1.3135299515105865E-5,0.001578187352867283,0.02407162172093903,1.5825302577668794E-5,0.017413865033490867,0.026886686051141678,0.012562460898381686,1.83422950037214E-5,0.01061713706003738,4.297057744392432E-4,0.046639178290686055,0.1153405477534572,1.1013840421751747E-5
3,Greece_Aristotle_Poetics.txt,9.77443096231212E-6,0.07885873308693746,2.7312357670091216E-5,7.750674624768289E-6,0.00782172632046654,3.016630077165317E-6,0.005946259899218093,1.3734847212507788E-5,0.1282916814369357,0.01306922780170609,0.019148336274433866,0.007910862408313278,1.2136512195120788E-5,0.006137058575385095,0.004833764755674012,0.003698971367716861,0.029597632698474673,9.312582580767287E-4,0.055090558435787654,0.019842029918857754,0.010705529568434364,0.0064662508830067075,1.679266711747153E-5,6.704836771096984E-6,0.031145575357107217,0.0011618495674186537,0.020438121937346218,7.47359313577492E-4,0.009201262648934477,2.8066053072013654E-5,0.5055185983214728,1.672386517038478E-5,0.00745206910927735,0.007951119931870212,1.7243529438238216E-5,2.4224067324444957E-4,9.552230910815949E-4,0.016649931692050434,1.7156188787976242E-5,1.0354074094981169E-5
4,Greece_Aristotle_politics.txt,1.7941588945753523E-6,0.004558701797083114,5.0133567503377215E-6,1.42268556303743E-6,0.03742454734786449,5.537216136119104E-7,0.0019684272122826537,2.5211184555878434E-6,0.11485309722016471,0.008436426891512989,2.768168495666992E-4,1.7429834598806122E-6,0.001688676646502625,0.031179015709184823,0.0075318769426987835,2.0676399649575044E-4,0.06722432165626005,0.26598901597190505,0.06542774629315584,0.028837677390959476,0.008002555065555219,0.004155071512181348,3.0824007237478823E-6,1.2307153813784754E-6,0.016307867378140686,0.0029115831288226957,0.0020650982008599645,2.266636551615021E-6,3.6230275299159104E-5,0.004221273983811159,2.730825377956553E-6,3.6798749941156154E-5,0.3116407455626199,0.005270853114931613,3.689413761865443E-5,0.006925176377770908,8.161878531464355E-4,0.0010999199910865995,8.463735837320164E-4,1.9005560737224124E-6
5,Rome_Cicero_SelectedLettersShuckburgh.txt,4.774092220837949E-6,0.00656580482111912,0.00252633215288706,3.785635764887487E-6,0.20333395975870264,1.4734024149405871E-6,0.0041608076250923415,0.2506776674976871,0.04300588361667224,1.0087850938228937E-4,1.858650685961475E-5,4.637919083992127E-6,9.567751236360009E-5,0.006318242262975393,0.005771428592085275,1.014314419558753E-4,0.07324233603423999,6.102733937197766E-6,0.02942068700272108,0.05079674578859658,2.3381985914854282E-5,0.009979267502558656,8.201985543890741E-6,3.2748207229969086E-6,0.02975178204177102,6.572279672496335E-4,0.0025332962041418445,6.031311920727851E-6,0.003955643261335112,0.009616927905273583,7.266475802554224E-6,8.168380841823495E-6,0.019794737908637252,2.4300765011740656E-5,0.1603014164101295,0.010978032525107975,3.768066633969307E-4,0.06153335126153159,0.014278584510992743,5.0572053535826976E-6
6,Greece_Xenophon_TheSymposium.txt,0.018670125365747168,0.001481157790988982,0.0016758013165065928,3.950104392028818E-4,0.031131006226161072,0.19671625580695512,0.015279844253883722,7.304373954743046E-6,0.023470481699561323,1.2117356745272477E-5,1.1795966734891863E-4,5.04990273649451E-6,6.454358188908858E-6,0.01792208895052157,5.184954520316147E-4,1.2719405997508504E-5,0.03655522780822594,6.644836240442962E-6,0.008189909318803163,0.03635089755885057,2.5458994113037263E-5,0.019953878292974354,0.01720802577827643,3.565721141550449E-6,0.017638573604528064,0.06325777356366694,6.084405294348817E-4,6.567069847824719E-6,0.31711556497485893,0.029233843338691227,0.003135020173551203,8.89397335719534E-6,0.015494320776504367,0.017030110339145015,0.008608717945274253,0.0012037702545532936,1.938965235103661E-5,0.09905218230014595,0.0018658443949711755,5.506433961346641E-6
7,Rome_Cicero_OldAge.txt,1.1293483397240544E-5,2.456065457575945E-4,8.807965055800158E-4,8.955213406257333E-6,0.09608435725605276,3.485447063204199E-6,0.017273557107922673,0.02995156217927061,0.05014243461042724,4.509457731210618E-4,0.005351714763878443,1.0971355338338378E-5,1.4022657636489353E-5,0.01303550052832143,7.018569591165418E-4,2.7634021915465424E-5,0.06710545646030541,1.4436487861858342E-5,0.03477808448455544,0.09150178684140983,0.006424608229129082,0.004286528134948452,1.9402429462931233E-5,7.746841023027704E-6,0.006687171939994457,0.003253202475139436,0.001958819895641153,1.4267533572772815E-5,0.005535801449876514,0.024872683539431506,6.541190427975747E-4,0.005539379761112246,0.022410343424979343,0.008762190329175941,0.036112602608667825,0.012593860417393845,0.015328436926386364,0.10288760331066285,0.33504480981891605,1.1963209350634962E-5
8,Greece_Plato_TheMento.txt,5.457577787342334E-4,4.168700061550456E-5,3.950895114655596E-5,1.1211812206097203E-5,0.022212771604982855,4.363734972483532E-6,0.002222197106975263,1.986827406403719E-5,0.04736074834613432,2.987690768657081E-4,0.009889989067311667,1.3735996019241847E-5,1.7556187319987103E-5,1.0591557805752979E-4,8.128817769068753E-5,3.45974406370802E-5,0.09225525638130086,1.8074297448864882E-5,0.061616743654644424,0.04571446882144009,0.0019299144665005663,5.04933637877658E-5,0.5909182349148212,9.698945496931099E-6,0.005182542515239975,0.023477042342102503,3.259434294113002E-4,1.7862768848182066E-5,1.9712066738172355E-5,4.0599216409395065E-5,2.1520919380052612E-5,5.558105489834899E-4,0.024336132857640434,0.049778299015912804,2.4943791758980652E-5,3.50415553301145E-4,0.002976642508770973,0.017439886253511318,2.481744830939675E-5,1.497778450794085E-5
9,Greece_Plato_Phaedo.txt,6.692595685206156E-6,2.713644119848236E-4,3.961497584461628E-4,5.306920858223634E-6,0.0220891367263676,2.065499824608105E-6,0.06760865622944531,9.404310035624982E-6,0.05475219205519735,1.5600978311196386E-5,0.00845574700403857,6.501700389108299E-6,8.309923049607765E-6,0.007095845533818452,0.003309699896787962,0.002281069316076096,0.08669662941304562,8.555161678230454E-6,0.06363890219096914,0.09209528922826658,0.018527772715413133,0.0012820630678431568,1.1498012715709896E-5,4.590831099761607E-6,1.8837526105115607E-4,0.021051946044898632,0.007325808268932018,8.455038208229413E-6,5.125955286713927E-4,1.9216949448491853E-5,1.0186561623288776E-5,1.3726719290124646E-4,0.004850831775719384,0.11163311470573976,1.1806720121206921E-5,0.0026821890334189063,0.388419848686484,0.034550478353962945,1.1746917595480338E-5,7.089479876584456E-6
10,Greece_Plato_Symposium.txt,0.0041096977821248075,2.2975139301017264E-5,6.077611884757028E-4,6.179215185755603E-6,0.0714268532993059,2.405004375110675E-6,0.015581397182614833,1.0950088937851445E-5,0.041777274207856194,0.005438539934485922,0.0016418011014116029,5.93556826792059E-4,9.6758184401839E-6,0.0104596331530136,9.237803802176733E-4,1.9067839047167013E-5,0.1075392324252959,9.961366745614338E-6,0.05256417560055577,0.0692902956456294,3.816593338912661E-5,2.782862882126831E-5,0.007191721909089295,5.345422327700105E-6,0.025709748801503247,0.4124352655359563,0.002816577642421544,9.844786061106435E-6,1.0863997709924407E-5,6.083620711470138E-4,1.1860918591940447E-5,1.333307958705082E-5,0.026743671202732196,0.07123701896283992,1.3747381243470892E-5,4.6629447457886367E-5,0.012481279299782821,0.05839509264672007,1.3677749024527283E-5,1.5475138378150686E-4
11,Greece_Plato_Crito.txt,0.00272557534913847,1.0546089174523548E-4,9.99508038072915E-5,2.8363943096816532E-5,0.09183438637454971,1.1039493720899205E-5,2.4216305914381085E-4,5.0263292376395775E-5,0.02903355933689312,7.558340203646003E-4,1.392597322289857E-4,3.474969097823439E-5,0.05047826496055416,0.0022853021027523634,8.780963558086911E-4,8.752553284757748E-5,0.20514686439309596,4.572484224055644E-5,0.03349354526021245,0.13044361836698265,0.0015200926333445784,0.002817544843906236,6.145352212846687E-5,0.21789877231227456,0.020507899784925836,0.008959000266621858,1.5212908132308987E-4,4.518971151567204E-5,4.986811489565572E-5,1.0270898609817814E-4,5.444419880267269E-5,6.12017383023361E-5,0.0810672903256761,1.8207391276128432E-4,0.015529484399587797,0.010973260830484539,0.08687964868586637,0.005117713802093716,6.278384606487693E-5,3.789120078809241E-5
